==COMPLETE LIST OF ISCN(2024) EXAMPLES==

'''This file contains all of the ISCN(2024) examples from the cytogenetics and in situ hybridization chapters.  The Example Numbers in parentheses are for reference to this file and are not published in the ISCN.  The markup for underlining (<u></u>) has been retained and should not be used in the ISCN string.  Section numbers have been intercalated for easier location in the ISCN text.  For most efficient searching, pipe multiple instances of grep to identify the examples with particular patterns of interest.  For example, grep 'der' | grep 'ins' finds all examples of derivative chromosomes involving an insertion.'''


(Ex.1)	inv(Y)(p11.2q11.2)pat
(Ex.271)	46,XX,ins(5;14;9)(q13q23;q24q21;p12p23)
(Ex.272)	46,XX,ins(5;14;9)(5pter-->5q13::9p12-->9p23::5q23-->5qter;14pter-->14q21::5q13-->5q23::14q24-->14qter;9pter-->9p23::14q24-->14q21::9p12-->9qter)
5.5.10
(Ex.273)	46,XX,inv(2)(p23p13) or 46,XX,inv(2)(pter-->p23::p13-->p23::p13-->qter)
(Ex.274)	46,XX,inv(3)(q21q26.2) or 46,XX,inv(3)(pter-->q21::q26.2-->q21::q26.2-->qter)
(Ex.275)	46,XY,inv(3)(p13q21) or 46,XY,inv(3)(pter-->p13::q21-->p13::q21-->qter)
(Ex.276)	46,Y,inv(X)(p21q24) or 46,Y,inv(X)(pter-->p21::q24-->p21::q24-->qter)
5.5.11
(Ex.277)	46,XX,i(17)(q10) or 46,XX,i(17)(qter-->q10::q10-->qter)
(Ex.278)	46,X,i(X)(q10) or 46,X,i(X)(qter-->q10::q10-->qter)
(Ex.279)	47,XY,i(X)(q10)
(Ex.280)	46,XX,idic(17)(p11.2) or 46,XX,idic(17)(qter-->p11.2::p11.2-->qter)
(Ex.281)	46,XX,i(21)(q10)
(Ex.282)	45,XX,-21,i(21)(q10)
(Ex.283)	47,XX,+i(8)(q10)[10] or 47,XX,+8,i(8)(q10)[10]
5.5.12
(Ex.284)	47,XX,+mar
(Ex.285)	47,XX,t(12;16)(q13;p11.2),+mar[10]
(Ex.286)	48,X,t(X;18)(p11.2;q11.2),+2mar[10]
(Ex.287)	47,X,t(X;18)(p11.2;q11.2),+mar1[5]/48,X,t(X;18)(p11.2;q11.2),+mar1,+mar2[12]
(Ex.288)	47~51,XY,t(11;22)(q24;q12),+1~5mar[cp10]
(Ex.289)	48,XX,i(17)(q10),+mar1,+mar2[17]/51,XX,i(17)(q10),+mar1x3,+mar2,+mar3[13]
(Ex.290)	47,XX,+der(?)t(?;15)(?;q22)
(Ex.291)	49,XX,+3mar,3dmin[10]
(Ex.292)	49,XY,+3mar,~14dmin[15]
(Ex.293)	49,XX,+3mar,>50dmin[8]
(Ex.294)	49,XX,+3mar,9~>50dmin[8]
5.5.13
(Ex.295)	47,XX,+der(3)(:q28-->qter)
(Ex.296)	47,XX,+neo(3)(:q28-->qter)
(Ex.297)	47,XX,der(3)(:p11-->q11:),+neo(3)(pter-->p11::q11-->q26-->neo-->q26-->qter)
(Ex.298)	47,XX,+neo(10)(qter-->q25::q25-->qter)
(Ex.299)	47,XX,+neo(10)(qter-->q25::q25-->q26-->neo-->q26-->qter)
(Ex.300)	47,XX,+der(10)(qter-->q25::q25-->q26-->neo-->q26-->qter)
5.5.14
(Ex.301)	46,XX,qdp(1)(q23q32)
(Ex.302)	46,XX,qdp(1)(pter-->q32::q23-->q32::q23-->q32::q23-->qter)
5.5.15
(Ex.303)	46,XX,rec(6)dup(6p)inv(6)(p22.2q25.2)dmat
(Ex.304)	46,XX,rec(6)(pter-->q25.2::p22.2-->pter)dmat
(Ex.305)	46,XX,rec(21)del(21)ins(21)(p13q22.2q22.3)dpat
(Ex.306)	46,XX,rec(21)(pter-->q22.2::p22.3-->qter)dpat
(Ex.307)	46,XY,rec(1)dup(5q)ins(1;5)(q32;q11.2q22)dinh,der(5)ins(1;5)dinh
(Ex.308)	46,XY,rec(1)(1pter-->1q32::5q11.2-->5q22::5q22-->5qter)dinh,der(5)(5pter-->5q11.2::5q22-->qter)dinh
5.5.16
(Ex.309)	46,XX,r(7)(p15q31) or 46,XX,r(7)(::p15-->q31::)
(Ex.310)	46,XX,r(20)(p13q13.3) or 46,XX,r(20)(::p13-->q13.3::)
(Ex.311)	46,XX,der(1)r(1;3)(p36.1q23;q21q27) or 46,XX,der(1)(::1p36.1-->1q23::3q21-->3q27::)
(Ex.312)	46,XX,der(1)r(1;3)(p36.1q23;q27q21) or 46,XX,der(1)(::1p36.1-->1q23::3q27-->3q21::)
(Ex.313)	46,XY,der(8)r(8;2)(p21.3q24.1;q23q33) or 46,XY,der(8)(::8p21.3-->8q24.1::2q23-->2q33::)
(Ex.314)	46,XX,der(1)r(1;?)(p36.1q23;?) or 46,XX,der(1)(::1p36.1-->1q23::?::)
(Ex.315)	47,XX,+der(?)r(?;3;5)(?;q21q26.2;q13q33) or 47,XX,+der(?)(::?-->cen?-->?::3q21-->3q26.2::5q13-->5q33::)
(Ex.316)	47,XX,+dicr(1;3)(p36.1q32;p24q26.2) or 47,XX,+dicr(1;3)(::1p36.1-->1q32::3p24-->3q26.2::)
(Ex.317)	47,XX,+trcr(1;3;12)(p36.1q32;q26.3p24;p12q23) or 47,XX,+trcr(1;3;12)(::1p36.1-->1q32::3q26.3-->3p24::12p12-->12q23::)
(Ex.318)	48,XX,+r1,+r2[10]
(Ex.319)	51,XY,+5r[10]
5.5.17
(Ex.320)	46,XX,tas(12;13)(q24.3;q34) or 46,XX,tas(12;13)(12pter-->12qter-->13qter-->13pter)
(Ex.321)	46,Y,tas(X;12;3)(q28;p13q24.3;q29) or 46,Y,tas(X;12;3)(Xpter-->Xqter-->12pter-->12qter-->3qter-->3pter)
(Ex.322)	46,X,tas(1;X;12;7)(p36.3;q28p22.3;p13q24.3;p22) or 46,X,tas(1;X;12;7)(1qter-->1pter-->Xqter-->Xpter-->12pter-->12qter-->7pter-->7qter)
5.5.18.1
(Ex.323)	46,XY,t(2;5)(p12;q31) or 46,XY,t(2;5)(5qter-->5q31::2p12-->2qter;5pter-->5q31::2p12-->2pter)
(Ex.324)	46,X,t(X;13)(q27;q12) or 46,X,t(X;13)(Xpter-->Xq27::13q12-->13qter;13pter-->13q12::Xq27-->Xqter)
(Ex.325)	46,t(X;Y)(q22;q11.23) or 46,t(X;Y)(Xpter-->Xq22::Yq11.23-->Yqter;Ypter-->Yq11.23::Xq22-->Xqter)
(Ex.326)	46,t(X;18)(p11.2;q11.2),t(Y;1)(q11.23;p31) or 46,t(X;18)(18qter-->18q11.2::Xp11.2-->Xqter;18pter-->18q11.2::Xp11.2-->Xpter),t(Y;1)(Ypter-->Yq11.23::1p31-->1pter;Yqter-->Yq11.23::1p31-->1qter)
5.5.18.1.2
(Ex.327)	46,XX,t(2;7;5)(p21;q22;q23)
(Ex.328)	46,XX,t(2;7;5)(5qter-->5q23::2p21-->2qter;7pter-->7q22::2p21-->2pter;5pter-->5q23::7q22-->7qter)
(Ex.329)	46,X,t(X;22;1)(q24;q11.2;p33)
(Ex.330)	46,X,t(X;22;1)(Xpter-->Xq24::1p33-->1pter;22pter-->22q11.2::Xq24-->Xqter;22qter-->22q11.2::1p33-->1qter)
(Ex.331)	46,XX,t(2;7;<u>7</u>)(q21;q22;p13)
(Ex.332)	46,XX,t(2;7;<u>7</u>)(2pter-->2q21::<u>7</u>p13--><u>7</u>pter;7pter-->7q22::2q21-->2qter;7qter-->7q22::<u>7</u>p13--><u>7</u>qter)
(Ex.333)	46,XX,t(9;22;17)(q34;q11.2;q22)[10]
(Ex.334)	46,XX,t(9;22;17)(9pter-->9q34::17q22-->17qter;22pter-->22q11.2::9q34-->9qter;17pter-->17q22::22q11.2-->22qter)[10]
(Ex.335)	46,Y,t(X;15;18)(p11.1;p11.1;q11.1)
(Ex.336)	46,Y,t(X;15;18)(18qter-->18q11.1::Xp11.1-->Xqter;Xpter-->Xp11.1::15p11.1-->15qter;18pter-->18q11.1::15p11.1-->15pter)
5.5.18.1.3
(Ex.337)	46,XX,t(3;9;22;21)(p13;q34;q11.2;q21)[10]
(Ex.338)	46,XX,t(3;9;22;21)(21qter-->21q21::3p13-->3qter;9pter-->9q34::3p13-->3pter;22pter-->22q11.2::9q34-->9qter;21pter-->21q21::22q11.2-->22qter)[10]
(Ex.339)	46,XX,t(3;9;<u>9</u>;22)(p13;q22;q34;q11.2)[10]
(Ex.340)	46,XX,t(3;9;<u>9</u>;22)(22qter-->22q11.2::3p13-->3qter;9pter-->9q22::3p13-->3pter;<u>9</u>pter-->9q34::9q22-->9qter;22pter-->22q11.2::<u>9</u>q34--><u>9</u>qter)[10]
5.5.18.2
(Ex.341)	46,XY,t(1;3)(p10;q10) or 46,XY,t(1;3)(1pter-->1p10::3q10-->3qter;3pter-->3p10::1q10-->1qter)
(Ex.342)	46,XY,t(1;3)(p10;p10) or 46,XY,t(1;3)(1pter-->1p10::3p10-->3pter;1qter-->1q10::3q10-->3qter)
(Ex.343)	45,XX,der(1;3)(p10;q10) or 45,XX,der(1;3)(1pter-->1p10::3q10-->3qter)
(Ex.344)	46,XX,+1,der(1;3)(p10;q10)
(Ex.345)	46,XX,der(1;3)(p10;q10),+3
(Ex.346)	47,XX,+der(1;3)(p10;q10)
(Ex.347)	44,XY,-1,der(1;3)(p10;q10)
5.5.18.3
(Ex.348)	45,XX,der(13;21)(q10;q10)
(Ex.349)	46,XX,der(13;21)(q10;q10),+21
(Ex.350)	46,XX,+13,der(13;21)(q10;q10)
(Ex.351)	46,XX,+21,der(21;21)(q10;q10)
5.5.18.4
(Ex.352)	46,XX,t(4;7)(q35;q11.2)[6]/46,XX,t(1;7)(p36.3;q11.2)[4]/46,XX,t(7;9)(q11.2;p24)[3]
(Ex.353)	46,XX,+13,der(13;13)(q10;q10)[5]/45,XX,der(13;15)(q10;q10)[5]
5.5.19
(Ex.354)	44,XX,trc(4;12;9)(q31.2;q22p13;q34) or 44,XX,trc(4;12;9)(4pter-->4q31.2::12q22-->12p13::9q34-->9pter)
5.5.20
(Ex.355)	46,XX,trp(1)(q21q32) or 46,XX,trp(1)(pter-->q32::q21-->q32::q21-->qter)
(Ex.356)	46,XX,trp(1)(q32q21) or 46,XX,trp(1)(pter-->q32::q32-->q21::q21-->qter)
5.6
(Ex.357)	46,XX,del(6)(q13q23)x2[10]
(Ex.358)	48,XY,+del(6)(q13q23)x2[10] or 48,XY,+6,+6,del(6)(q13q23)x2[10]
(Ex.359)	47,XX,del(6)(q13q23)x2,+del(6)[15]
(Ex.360)	48,XX,del(6)(q13q23)x2,+7,+7[10]
(Ex.361)	48,XX,t(8;14)(q24.1;q32),+der(14)t(8;14)x2[10]
(Ex.362)	92,XXXX,t(8;14)(q24.1;q32)x2[10]
(Ex.363)	94,XXYY,t(8;14)(q24.1;q32)x2,+der(14)t(8;14)x2[15] or 94,XXYY,t(8;14)(q24.1;q32)x2,+14,+14,der(14)t(8;14)x2[15]
(Ex.364)	93,XXXX,t(8;14)(q24.1;q32)x2,der(14)t(8;14)x2,+der(14)t(8;14)[15]
(Ex.365)	94,XXYY,t(8;14)(q24.1;q32)x2,+14,der(14)t(8;14)x2,+der(14)t(8;14)[10]
(Ex.366)	47,XX,+8,i(8)(q10)x2[10] or 47,XX,i(8)(q10),+i(8)[10]
(Ex.367)	49,XX,+1,+der(1)t(1;16)(p13;q13)x2,t(1;16)[10]
5.7
(Ex.368)	26,X,+4,+6,+21[12]
(Ex.369)	69,XXX,del(7)(p11.2)
(Ex.370)	70,XXX,+del(7)(p11.2)
(Ex.371)	71,XXX,+8,+10
(Ex.372)	69,XXY,del(7)(q22),inv(7)(p13q22),t(7;14)(p15;q11.1)
(Ex.373)	69,XXX,der(7)inv(7)(p13q22)del(7)(q22),t(7;14)(p15;q11.1)
(Ex.374)	92,XXYY,del(7)(p11.2),t(<u>7</u>;14)(p15;q11.1)
(Ex.375)	92,XXYY,del(7)(p11.2),del(7)(q22),del(7)(q34)
(Ex.376)	89,XXYY,-1,-3,-5,+8,-21[5]
(Ex.377)	76~102<4n>,XXXX,...[15]
(Ex.378)	58<2n>,XY,+X,+4,+6,+8,+10,+11,+14,+14,+17,+18,+21,+21[10]
6.3
(Ex.379)	46,XY,t(7;11)(p15;p15)[12]/46,XY[8]
(Ex.380)	46,XX,t(9;22)(q34;q11.2)[1]/46,XX[19]
(Ex.381)	46,XX,del(20)(q11.2q13.3)[1]/46,XX[19].nuc ish (D20S108x1,RH74808x2)[40/200]
6.3.1
(Ex.382)	46,XX[20]
(Ex.383)	46,XX,t(8;21)(q22;q22)[23]
(Ex.384)	46,XX,t(9;22)(q34;q11.2)[18]/45,XX,der(7;9)(q10;q10)t(9;22),der(22)t(9;22)[2] or 46,XX,t(9;22)(q34;q11.2)[18]/45,XX,der(7;9)(7qter-->7q10::9q10-->9q34::22q11.2-->22qter),der(22)(22pter-->22q11.2::9q34-->9qter)[2] or 46,XX,t(9;22)(q34;q11.2)[18]/45,XX,der(7;9)(7qter-->7q10::9q10-->9q34::22q11.2-->22qter),der(22)t(9;22)[2]
(Ex.385)	46,XX,t(9;22)(q34;q11.2)[3]/47,XX,+8,t(9;22)[17]
(Ex.386)	46,XX,der(2)t(2;5)(p23;q35)[10]/47,XX,+2,der(2)t(2;5)[16].nuc ish (3'ALKx2,5'ALKx3)(3'ALK con 5'ALK)x2[135/200]/(3'ALKx1,5'ALKx2)(3'ALK con 5'ALK)x1[65/200]
(Ex.387)	45,XX,-7[10]/47,XX,+8[10]
6.3.2
(Ex.388)	45,X,-Y,t(8;21)(q22;q22)[20]
(Ex.389)	46,XX,t(10;11)(p12;q14-22),del(13)(q12q22),i(17)(q10)[10]/46,XX[5]
(Ex.390)	46,Y,i(X)(q10)[20]/46,XY[10]
6.3.3.1
(Ex.391)	46,XY,inv(16)(p13.1q22)[10]/46,XY,del(7)(q21),inv(16)[5]
(Ex.392)	46,XY,t(1;19)(q23;p13.3),del(9)(p21)[10]/47,XY,t(1;19),+21[10]
(Ex.393)	47,XX,t(6;9)(p22;q34),+9[10]/45,XX,t(6;9),-9[10]
(Ex.394)	45,XX,-5,add(7)(q34)[15]/45,XX,-5,t(7;8)(q22;q22)[15]
(Ex.395)	47,XY,+8,del(17)(p13)[15]/47,XY,+8,del(17)(q21)[15]
(Ex.396)	48,XY,+8,+17[15]/47,XY,+8,del(17)(p13)[15]/47,XY,+8,del(17)(q21)[15]
6.3.3.2
(Ex.397)	46,XX,t(3;9)(p13;p13)[14]/48,XX,+3,+9[11]/46,XX,t(1;6)(p11;p12)[9]/47,XX,t(6;10)(q12;p15),+7[6]/45,X,-X[3]/46,XX,inv(6)(p22q23)[3]/46,XX[7]
(Ex.398)	47,XX,+8[10]/47,XX,+21[10]
(Ex.399)	47,XY,+Y[20]/45,X,-Y[20]
(Ex.400)	47,XX,+8[10]/46,XX,t(8;21)(q22;q22)[10]
(Ex.401)	46,XX,del(9)(q13q22)[10]/46,XX,t(9;22)(q34;q11.2)[10]
(Ex.402)	46,XY,del(9)(p13)[15]/46,XY,del(9)(q22)[15]
(Ex.403)	46,XX,add(7)(q22)[15]/46,XX,t(7;9)(q22;p21)[15]
6.3.3.3
(Ex.404)	45,XY,-5[3]/44,XY,-5,-7[15]/45,XY,-10[15]/46,XY,del(11)(q23)[15]
(Ex.405)	50,XX,t(2;6)(p22;q16),+5,+5,+8,+11[19]/51,sl,+8[7]/52,sdl1,+9[12]/46,XX,del(3)(q13)[11]/47,XX,+7[6]/46,XX,t(1;3)(p22;p14)[4]
(Ex.406)	46,XY,t(9;22)(q34;q11.2)[6]/46,XY,t(1;3)(p22;p14)[14]
6.3.4
(Ex.407)	46,XY,t(8;21)(q22;q22)[26]/47,XY,t(8;21),+21[7] or 46,XY,t(8;21)(q22;q22)[26]/47,idem,+21[7] or 46,XY,t(8;21)(q22;q22)[26]/47,sl,+21[7]
(Ex.408)	46,XX,t(9;22)(q34;q11.2)[3]/47,sl,+8[17]/48,sdl1,+9[3]/49,sdl2,+11[12]
(Ex.409)	46,XX,t(9;22)(q34;q11.2)[3]/47,idem,+8[17]/48,idem,+8,+9[3]/49,idem,+8,+9,+11[12]
(Ex.410)	46,XX,t(8;21)(q22;q22)[12]/45,sl,-X[19]/46,sdl1,+8[5]/47,sdl2,+9[8]
(Ex.411)	46,XX,t(8;21)(q22;q22)[12]/45,idem,-X[19]/46,idem,-X,+8[5]/47,idem,-X,+8,+9[8]
(Ex.412)	48,XX,t(12;16)(q13;p11.1),+17,+20[23]/49,sl,+6[8]/50,sdl,+7,-8,+9[4]
(Ex.413)	48,XX,t(12;16)(q13;p11.1),+17,+20[23]/49,idem,+6[8]/50,idem,+6,+7,-8,+9[4]
(Ex.414)	26,X,+4,+6,+21[3]/52,slx2[13]
(Ex.415)	26,X,+4,+6,+21[3]/52,idemx2[13]
(Ex.416)	52,XX,+4,+4,+6,+6,+21,+21[9]/51,idem,-10[3]/46,XX[18]
(Ex.417)	46,XY,t(9;22)(q34;q11.2)[3]/92,slx2[5]/93,sdl,+8[2]
(Ex.418)	46,XY,t(9;22)(q34;q11.2)[3]/92,idemx2[5]/93,idemx2,+8[2]
(Ex.419)	46,XY,t(9;22)(q34;q11.2)[3]/47,idem,+8[10]/47,idem,+19[3]/48,idem,+8,+der(22)t(9;22)[4]
(Ex.420)	45,XY,-7[5]/46,sl1,+8[6]/46,XY,t(9;22)(q34;q11.2)[3]/92,sl2x2[5]/93,sl2x2,+8[2]
(Ex.421)	45,XY,-7[5]/46,idem,+8[6]/46,XY,t(9;22)(q34;q11.2)[3]/92,XXYY,t(9;22)x2[5]/93,XXYY,+8,t(9;22)x2[2]
(Ex.422)	48,XX,t(12;16)(q13;p11.1),+17,+20[7]/96,slx2,inv(3)(q21q26.2),t(3;6)(p25;q21)[19] or 48,XX,t(12;16)(q13;p11.1),+17,+20[7]/96,idemx2,inv(3)(q21q26.2),t(3;6)(p25;q21)[19]
(Ex.423)	53,XY,+1,+12,+14,t(14;18)(q32;q21),+15,+16,+18,+20[21]/53,sl,del(7)(q21)[9]
(Ex.424)	53,XY,+1,+12,+14,t(14;18)(q32;q21),+15,+16,+18,+20[21]/53,idem,del(7)(q21)[9]
(Ex.425)	45,XY,t(1;6)(p34.1;q22),-3[13]/49,sl,+3,+del(7)(q11.2),+8,+9[22] or 45,XY,t(1;6)(p34.1;q22),-3[13]/49,idem,+3,+del(7)(q11.2),+8,+9[22]
(Ex.426)	45,XX,dic(9;20)(p13;q11.2)[11]/46,sl,+21[19] or 45,XX,dic(9;20)(p13;q11.2)[11]/46,idem,+21[19]
(Ex.427)	47,XX,inv(6)(p21q25),+12,del(13)(q12q14)[17]/47,sl,-inv(6),+mar[11] or 47,XX,inv(6)(p21q25),+12,del(13)(q12q14)[17]/47,idem,-inv(6),+mar[11]
(Ex.428)	47,XX,inv(6)(p21q25),+12,del(13)(q12q14)[17]/48,sl,+6,-inv(6),+mar[11] or 47,XX,inv(6)(p21q25),+12,del(13)(q12q14)[17]/48,idem,+6,-inv(6),+mar[11]
(Ex.429)	46,XY,-2,-9,add(10)(q26),del(20)(q11.2q13.3),+mar1,+mar2[15]/44,sl,add(3)(p12),-5,+8,-add(10),-mar2[5] or 46,XY,-2,-9,add(10)(q26),del(20)(q11.2q13.3),+mar1,+mar2[15]/44,idem,add(3)(p12),-5,+8,-add(10),-mar2[5]
(Ex.430)	46,XY,t(9;22)(q34;q11.2)[10]/45,idem,-Y[4]/47,idem,+8[4]/44,idem,-Y,-7[4]/45,idem,-Y,i(17)(q10)[3]/48,idem,+8,+19[3]/48,idem,+8,+21[3]/45,idem,-Y,-7,+11[3]/45,idem,-Y,-7,+21[3]/45,idem,-Y,-7,+der(22)t(9;22)[3]/46,idem,-Y,i(17),+21[7]/49,idem,+8,+19,+21[3]
(Ex.431)	46,XY,t(8;21)(q22;q22)[29]/47,idem,+9[3]/47,idem,+21[3]/46,idem,-7,+9[6]/45,idem,-5,-7,+9[3]/47,XY,+8[15]/46,X,-Y,+8[3]/46,XY,-7,+8[9]/45,X,-Y,-5,+8[6]/46,X,-Y,+8,del(9)(q22)[2]/46,XY,-7,+8,i(17)(q10)[3]/47,XY,-7,+8,+21[5]
(Ex.432)	46,XY,t(8;21)(q22;q22)[29]/47,sl1,+9[3]/47,sl1,+21[3]/46,sl1,-7,+9[6]/45,sl1,-5,-7,+9[3]/47,XY,+8[15]/46,sl2,-Y[3]/46,sl2,-7[9]/45,sl2,-Y,-5[6]/46,sl2,-Y,del(9)(q22)[2]/46,sl2,-7,i(17)(q10)[3]/47,sl2-7,+21[5]
6.3.5
(Ex.433)	45~48,XX,del(3)(p12)[2],-5[4],+8[2],+11[3][cp7]
(Ex.434)	47~55,XX,del(3)(p12),+i(6)(p10),del(7)(q11.2),+8,dup(11)(q13q25),+16,+17,der(18)t(18;20)(q23;q11.1),+21,+21,+22[cp24]
(Ex.435)	63~74(35,X,+X,+1,+6,+8,+10,+11,+14,+15,+18,+19,+21,+22)x2,-2,-5,-16[cp12]
(Ex.436)	69~73,XXY,+Y,+1,-4,-13,del(17)(p11.2),+21,+21,+22[cp10]/46,XY[10]
(Ex.437)	48,XX,+7,+9
(Ex.438)	48,XX,+7,+11
(Ex.439)	48,XX,+9,+11
(Ex.440)	48,XX,+9,+13
(Ex.441)	48,XX,+13,+21
(Ex.442)	48,XX,+7,+9,+11,+13[cp5]
(Ex.443)	48,XX,+7[2],+9[3],+11[2],+13[2][cp5]
(Ex.444)	42,XX,-2,-16,-21,-22
(Ex.445)	45,XX,-7,+9,-20
(Ex.446)	46,XX,-7,+8,-12,+13
(Ex.447)	43,XX,-7,-18,-20
(Ex.448)	46,XX,-7,+8
(Ex.449)	43~46,XX,-7,+8[cp4]
(Ex.450)	43~46,XX,-7[4],+8[2][cp4]
(Ex.451)	51,XY,+1,-7,+8,t(9;22)(q34;q11.2),+11,+13,+19,+der(22)t(9;22)
(Ex.452)	51,XY,+1,+5,-7,+8,t(9;22)(q34;q11.2),+11,+19,+der(22)t(9;22)
(Ex.453)	51,XY,+1,+5,-7,+8,t(9;22)(q34;q11.2),+13,+19,+der(22)t(9;22)
(Ex.454)	52,XY,+1,+5,-7,+8,t(9;22)(q34;q11.2),+11,+13,+19,+der(22)t(9;22)
(Ex.455)	46,XY,t(9;22)(q34;q11.2)[5]
(Ex.456)	46,XY,t(9;22)(q34;q11.2)[5]/51~52,sl,+1,+5,-7,+8,+11,+13,+19,+der(22)t(9;22)[cp4]
(Ex.457)	46,XY,t(9;22)(q34;q11.2)[5]/51~52,idem,+1,+5,-7,+8,+11,+13,+19,+der(22)t(9;22)[cp4]
(Ex.458)	46,XY,t(9;22)(q34;q11.2)[5]/51~52,idem,+1,+5[3],-7,+8,+11[3],+13[3],+19,+der(22)t(9;22)[cp4]
(Ex.459)	25,XY,-1,-1,-2,-2,inv(3)(q21q26.2),-7,+8,-9,-9,-10,-11,-11,-12,-12,-13,-14,-15,-16,-17,-18,-20,-20,-22,-22
(Ex.460)	45,XY,inv(3)(q21q26.2),-7,+8,-19
(Ex.461)	46,XY,inv(3)(q21q26.2),-7,+8
(Ex.462)	45,XY,inv(3)(q21q26.2),-7
(Ex.463)	46,XY,inv(3)(q21q26.2),-7,+21
(Ex.464)	44,XY,-3,inv(3)(q21q26.2),-7
(Ex.465)	46,XY,inv(3)(q21q26.2),-7,+14
(Ex.466)	47,XY,inv(3)(q21q26.2),+8
(Ex.467)	47,XY,inv(3)(q21q26.2),+8,+14,-21
(Ex.468)	47,XY,inv(3)(q21q26.2),+14
(Ex.469)	46,XY,inv(3)(q21q26.2)
(Ex.470)	44~47,XY,inv(3)(q21q26.2),-7,+8,+14[cp10]
(Ex.471)	48,X,i(X)(q10),+8,+9
(Ex.472)	47,XX,+9,del(17)(p13)
(Ex.473)	47,X,i(X)(q10),+11
(Ex.474)	47,X,i(X)(q10),+9,del(17)(p13)
(Ex.475)	47,X,i(X)(q10),+8
(Ex.476)	48,XX,+8,+9
(Ex.477)	47~48,XX,i(X)(q10),+8,+9,del(17)(p13)[cp6]
(Ex.478)	47~48,XX,i(X)(q10)[4],+8[3],+9[4],del(17)(p13)[2][cp6]
(Ex.479)	45,X,-X
(Ex.480)	45,X,-X,del(16)(q24)
(Ex.481)	46,X,-X,del(16)(q24),+21
(Ex.482)	46,X,-X,+21
(Ex.483)	44,X,-X,-7
(Ex.484)	46,XX
(Ex.485)	44~46,X,-X,del(16)(q24),+21[cp5]/46,XX[1]
(Ex.486)	45,XX,-15,del(17)(p11.2)</span>
(Ex.487)	46,XX,+7,-15,del(17)(p11.2)</span>
(Ex.488)	46,XX,+12,-15
(Ex.489)	47,XX,+7
(Ex.490)	47,XX,+15,del(17)(p11.2)</span>
(Ex.491)	48,XX,+12,+15
(Ex.492)	45~48,XX,+7,+12,+15,-15,del(17)(p11.2)</span>[cp6]
(Ex.493)	45~48,XX,+7[2],+12[2],+15[2],-15[3],del(17)(p11.2)[3][cp6]
6.3.6
(Ex.494)	46,XX,del(1)(q21),inc[4]
(Ex.495)	46,XX,der(19)t(1;19)(q23;p13),inc[4]
(Ex.496)	53~57,XY,+1,+3,+6,t(9;22)(q34;q11.2),+21,+3mar,inc[cp10]
(Ex.497)	45~47,XY,-5,inc[cp2]/46,XY[19].nuc ish (D5S721/D5S23,CSF1R)x1[25/200]
(Ex.498)	31<2n>,XY,-1,-2,inv(3)(q21q26.2),-7,+8,-9,-9,-10,-12,-13,-14,-15,-16,-17,-18,-21,-21,-22
(Ex.499)	45,XY,inv(3)(q21q26.2),-7,+8,-9
(Ex.500)	31~45,XY,inv(3)(q21q26.2),-7,+8,-9,inc[cp2]
6.3.7
(Ex.501)	81<3n>,XXX,+X,+X,+X,+X,+X,+1,+1,+3,+3,+14,+14,+14,-15,+21[10]
(Ex.502)	58<2n>,XY,+X,+4,+6,+8,+9,+10,+14,+14,+17,+18,+21,+21[20]
(Ex.503)	46,XX,-5,+8[10]
(Ex.504)	69<3n>,XXY,-5,-7,+10,+17[8]
(Ex.505)	25,X,+Y,+21[1]/50,XY,+X,+Y,+21,+21[19] or 
(Ex.506)	25,X,+Y,+21[1]/50(25,X,+Y,+21)x2[19]
(Ex.507)	50(25,X,+X,+21)x2[9]/46,XX[11]
(Ex.508)	55,XX,+X,+X,+6,+10,+10,+18,+18,der(18)t(18;19)(q21;p11~12)x2,+21,+21[7]/46,XY[13]
(Ex.509)	68,XY,-X[10]
(Ex.510)	26,X,+Y,t(6;14)(q13;q32),+14,+21[6]/27,idem,+18[2]/52,idemx2[9]/46,XY[4]
(Ex.511)	26,X,+Y,t(6;14)(q13;q32),+14,+21[6]/27,sl,+18[2]/52,slx2[9]/46,XY[4]
(Ex.512)	32,-X,+Y,+3,+5,+7,+9,+11,+15,+18,+19,+21[16]/46,XY[14]
6.4
(Ex.513)	47,XXYc[5]/46,XY[15] or 47,XY,+X[5]/46,XY[15]
(Ex.514)	48,XX,+8,+21c[20]
(Ex.515)	47,X,t(X;18)(p11.1;q11.1),+21c[20]
(Ex.516)	47,XXYc,t(9;22)(q34;q11.2)[20]
(Ex.517)	48,XY,+8,inv(10)(p12q22)mat,+21[20]
(Ex.518)	47,XX,del(5)(q15),+marc[20]
(Ex.519)	48,XY,+8,+21c[3]/49,idem,+9[5]/47,XY,+21c[12]
(Ex.520)	47,XX,t(2;13)(q37;q14),der(14;21)(q10;q10)c,+18,+mar[3]/45,XX,der(14;21)c[17]
(Ex.521)	46,XXYc,-X[20]
(Ex.522)	46,XX,+21c,-21[20]
(Ex.523)	45,Xc,t(X;18)(p11.1;q11.1)[20]
(Ex.524)	46,XX,der(9)t(9;11)(p22;q23)t(11;12)(p13;q22)c,der(11)t(9;11)t(11;12)c,der(12)t(11;12)c[20]
