==COMPLETE LIST OF ISCN(2024) EXAMPLES==

'''This file contains all of the ISCN(2024) examples from the cytogenetics and in situ hybridization chapters.  The Example Numbers in parentheses are for reference to this file and are not published in the ISCN.  The markup for underlining (<u></u>) has been retained and should not be used in the ISCN string.  Section numbers have been intercalated for easier location in the ISCN text.  For most efficient searching, pipe multiple instances of grep to identify the examples with particular patterns of interest.  For example, grep 'der' | grep 'ins' finds all examples of derivative chromosomes involving an insertion.'''


(Ex.1)	inv(Y)(p11.2q11.2)pat
(Ex.78)	45,X[25]/46,X,i(X)(q10)[25]/46,XX[25]
(Ex.79)	47,XY,+5[25]/46,XY,del(5)(q13q33)[25]/46,XY[10]
(Ex.80)	47,XX,t(9;22)(q34;q11.2),+19[5]/45,XX,t(9;22),-19[10]
(Ex.81)	46,X,del(X)(q13)[25]/46,X,i(X)(q10)[25]/46,XX[25]
(Ex.82)	46,XX,add(7)(q34)[10]/46,XX,del(7)(q22)[10]
(Ex.83)	46,XX,del(7)(q22),+8[10]/46,XX,i(7)(q10),+8[12]
(Ex.84)	46,XY,del(5)(p15.31)[10]/46,XY,del(5)(p15.2)[10]
(Ex.85)	46,XX,del(13)(q13q14)[10]/46,XX,del(13)(q14q22)[10]/46,XX[2]
(Ex.86)	46,XY,del(5)(q13q31),-7[3]/46,XY,del(5)(q13),-7[17]
(Ex.87)	46,XX,del(20)(q11.2q13.3)[1]/46,XX[19].nuc ish (D20S108)x1[40/200]
(Ex.88)	47,XX,+8[1]/46,XX[19].nuc ish (D8Z2)x1[30/200]
(Ex.89)	46,XY[3]//46,XX[17]
(Ex.90)	//46,XX[20]
(Ex.91)	46,XY[20]//
(Ex.92)	46,XY,t(9;22)(q34;q11.2)[4]//46,XX[16]
(Ex.93)	46,XX[5]//45,XX,der(13;14)(q10;q10)c[15]
(Ex.94)	arr[GRCh38] 17p13.3~p13.1(158,756_7,281,077)x1[0.7~0.9]
(Ex.95)	arr[GRCh38] 7p11.2(54,290,345_55,087,100)amp[?]
(Ex.96)	ogm[GRCh38] t(1;17)(p36.23;p13.3)(8,781,440;2,208,744)(RERE::SMG6)[VAF0.3],del(6)(q12q23.3)(63,771,696_135,674,891)[0.5],del(12)(p13.1)(pter_12,722,843)[0.5]
4.6
(Ex.97)	46,XX,del(4)(q32q35).arr[GRCh38] 4q32.2q35.1(163,146,681_183,022,312)x1
(Ex.98)	ogm[GRCh38] del(4)(q32.2q35.1)(163,146,681_183,022,312) or 46,XX,del(4)(q32q35).arr[GRCh38] 4q32.2q35.1(163,146,681_183,022,312)x1.ogm[GRCh38] del(4)(q32.2q35.1)(163,146,681_183,022,312)
(Ex.99)	46,XX.arr[GRCh38] 22q11.21(18,339,130_21,086,225)x1.ish del(22)(q11.2q11.2)(TBX1-,SHANK3+)
(Ex.100)	46,XX,t(4;18)(q31.1;q21.1).ish t(4;18)(wcp4+,wcp18+;wcp18+,wcp4+)
(Ex.101)	45,XY,der(7)t(7;15)(q36.2;q11.1),-15.arr[GRCh38] 7q36.2q36.3(154,257,444_159,128,556)x1.ish der(7)t(7;15)(wcp7+,RP11-324E12-,wcp15+)
(Ex.102)	47,XX,inv(6)(p21q25),+12[17]/47,XX,inv(6),+mar[11]/46,XX[2].ish der(8)(D8Z2+,MYC-)[10]
(Ex.103)	46,XY,t(1;18)(p31;q22)pat.ish t(1;18)(wcp18+,wcp1+;wcp18+,wcp1+)
(Ex.104)	46,XY.ish del(22)(q11.2q11.2)(TBX1-)mat
(Ex.105)	arr[GRCh38] 7q35(145,733,219_146,772,842)x1mat.ish del(7)(q35q35)(RP11-79M8-)
(Ex.106)	46,XX,der(13)t(13;20)(q34;p13)dmat.ish der(13)(163C9-,dj1061L1+)
4.7.1
(Ex.107)	ish 7(D7Z1)x1[20]/7(D7Z1)x2[15]
(Ex.108)	rsa (21)x3[25]/(21)x2[5]
(Ex.109)	46,XX,del(5)(q13)
(Ex.110)	ish del(15)(q11.2q11.2)(SNRPN-,D15S10-)
(Ex.111)	ogm[GRCh38] del(17)(q11.2q11.2)(29,069,481_30,273,120)[0.5]
(Ex.112)	46,XX,del(5)(pter-->q13:)
